itemID,avg_lifespan,item_lifespan_variance
1,90.0,0.0
6,64.61538461538461,116.47916666666667
9,58.07692307692308,381.20666666666665
12,84.0,0.0
21,53.0,0.0
23,72.42857142857143,0.0
26,48.0,0.0
30,62.15,441.4666666666666
34,57.13953488372093,299.8958333333333
36,80.0,0.0
40,78.45454545454545,1724.5
41,33.0,0.0
44,54.666666666666664,98.5
47,70.42857142857143,800.0
48,61.5,84.5
49,110.0,0.0
52,88.0,0.0
54,36.333333333333336,506.3333333333333
56,59.0,633.0833333333334
58,92.75,98.0
59,42.45454545454545,443.8166666666667
63,64.0,0.0
69,130.0,0.0
70,63.5,0.0
74,66.0,0.0
76,61.833333333333336,684.5
80,76.0,0.0
87,82.0,0.0
91,50.0,0.0
102,57.5,1002.5
108,63.0,882.0
110,83.33333333333333,0.0
111,46.0,0.0
113,60.0,800.0
121,65.4,2646.25
122,111.0,0.0
126,98.0,0.0
128,67.66666666666667,430.25
131,51.0,562.3333333333334
133,35.333333333333336,0.0
136,82.0,0.0
139,61.0,0.0
145,114.5,0.0
148,97.0,0.0
150,55.0,0.0
157,96.0,0.0
158,96.0,3784.5
159,46.5,0.0
161,35.0,139.5
166,70.5,3120.5
167,93.75,1568.0
169,45.0,0.0
172,76.0,0.0
176,42.0,0.0
180,44.59183673469388,334.65277777777777
186,43.5,0.0
187,99.0,0.0
190,51.0,8.0
195,40.61538461538461,1257.9166666666667
197,58.6,0.0
205,53.0,0.0
207,49.666666666666664,206.2222222222222
217,69.55172413793103,564.875
219,66.48148148148148,807.7592592592592
220,59.0,0.0
224,48.25,4.5
225,76.33333333333333,0.0
226,20.0,0.0
227,69.0,0.0
230,66.0,98.0
232,79.0,0.0
235,21.5,40.5
238,90.5,112.5
239,81.5,5716.25
240,1.0,0.0
241,99.0,0.0
242,11.0,0.0
246,85.0,0.0
250,58.15,2942.5
254,80.25,0.0
255,6.0,0.0
260,29.0,0.0
263,73.55555555555556,932.5277777777778
265,17.0,247.0
266,57.5,2964.5
269,91.0,0.0
272,79.0,512.0
279,150.0,0.0
285,68.5,1740.5
287,102.0,0.0
288,68.0,338.0
291,53.666666666666664,10.333333333333336
295,50.0,215.5
296,65.15384615384616,897.25
298,62.5,1624.5
300,3.0,0.0
301,54.75,467.1666666666667
302,91.0,18.0
306,114.0,0.0
308,152.0,0.0
309,99.0,0.0
311,83.0,0.0
312,142.0,0.0
313,49.3125,140.525
314,61.0,0.0
316,123.0,0.0
325,85.0,0.0
334,31.0,50.0
337,72.5,0.0
338,64.5,0.0
341,50.25,0.0
342,36.833333333333336,114.33333333333331
345,102.0,0.0
348,15.0,0.0
349,57.5,738.8333333333334
352,62.30952380952381,443.0866402116402
357,116.5,0.0
360,71.0,0.0
