itemID,avg_lifespan,item_lifespan_variance
1,90.0,0.0
6,66.34375,375.85833333333335
8,34.0,0.0
9,60.25,506.5571428571429
11,102.0,0.0
12,84.0,0.0
14,86.0,0.0
21,66.33333333333333,364.5
23,71.25,264.5
26,48.0,0.0
30,71.25925925925925,1929.690476190476
34,67.14285714285714,299.21875
36,80.0,0.0
40,91.6875,2460.4166666666665
41,33.0,0.0
44,56.5625,1620.4444444444443
47,90.11111111111111,800.0
48,61.5,84.5
49,110.0,0.0
52,88.0,0.0
54,36.333333333333336,506.3333333333333
56,53.3,602.0
58,93.8,882.3333333333333
59,40.38461538461539,1134.4666666666667
63,64.0,0.0
68,18.0,0.0
69,130.0,0.0
70,63.5,0.0
74,66.0,0.0
76,71.0,228.41666666666666
77,72.0,0.0
80,80.5,0.0
87,82.0,0.0
91,92.71428571428571,0.0
102,68.84210526315789,834.4
108,64.66666666666667,449.3333333333333
110,80.375,0.0
111,49.0,18.0
113,53.666666666666664,520.3333333333333
121,61.166666666666664,3300.1666666666665
122,111.0,0.0
126,98.0,0.0
128,72.35714285714286,1954.6
131,51.0,562.3333333333334
133,35.333333333333336,0.0
136,93.5,0.0
138,15.0,0.0
139,61.0,0.0
145,114.5,0.0
146,160.0,0.0
148,54.0,0.0
150,55.0,0.0
156,85.0,0.0
157,96.0,0.0
158,113.0,3784.5
159,46.5,0.0
161,48.61538461538461,129.14285714285714
166,70.5,3120.5
167,90.5,945.3333333333333
169,45.0,0.0
172,70.0,0.0
176,40.5,4.5
179,53.0,0.0
180,51.046875,973.1531249999999
186,43.5,0.0
187,99.0,0.0
190,53.666666666666664,25.333333333333343
195,40.25,852.761111111111
197,58.6,0.0
205,53.0,0.0
207,56.75,1949.4111111111113
209,14.0,0.0
217,73.17142857142858,1005.1875
219,68.91044776119404,1032.4102564102564
220,99.5,0.0
224,42.2,4.5
225,76.33333333333333,0.0
226,20.0,0.0
227,64.66666666666667,0.0
230,66.0,98.0
232,79.0,0.0
233,37.0,0.0
235,32.333333333333336,372.3333333333333
238,94.84615384615384,128.5
239,81.5,5716.25
240,1.0,0.0
241,142.0,0.0
242,11.0,0.0
246,78.5,84.5
250,61.52173913043478,2942.5
254,100.33333333333333,0.0
255,6.0,0.0
259,51.0,0.0
260,39.5,0.0
263,78.17777777777778,1719.7604166666667
265,17.0,247.0
266,60.6,2964.5
269,91.0,0.0
272,60.25,931.0
277,138.0,0.0
279,150.0,0.0
285,87.6,1740.5
287,102.0,0.0
288,57.0,338.0
291,53.666666666666664,10.333333333333336
292,98.0,0.0
295,53.333333333333336,196.42777777777778
296,65.28571428571429,920.1666666666666
298,62.5,1624.5
300,3.0,0.0
301,58.8,952.8666666666668
302,87.75,18.0
306,114.0,0.0
308,152.0,0.0
309,80.8,18.0
311,83.0,0.0
312,142.0,0.0
313,54.59090909090909,926.7
314,69.33333333333333,0.0
316,123.0,0.0
324,52.0,0.0
325,85.0,0.0
326,91.0,0.0
334,30.5,50.0
337,72.5,0.0
338,70.0,612.5
341,50.25,0.0
342,42.0,292.4583333333333
345,99.75,0.0
348,14.5,0.5
349,68.4,802.7777777777777
352,69.74545454545455,669.7557142857142
357,94.0,512.0
360,71.0,0.0
361,12.5,0.0
363,79.125,672.5
365,47.09090909090909,1490.25
367,73.0,0.0
368,43.5,544.5
373,145.5,0.0
374,88.0,0.0
375,37.0,0.0
376,75.24137931034483,1635.8666666666666
378,100.0,0.0
383,60.5,1624.5
387,48.0,748.3166666666666
392,91.64285714285714,2060.5
395,62.87215909090909,1204.738005952381
399,121.0,0.0
400,41.0,50.0
404,7.0,0.0
405,54.0,0.0
408,17.0,0.0
410,78.2,0.0
411,60.25,723.7083333333333
419,69.33333333333333,264.5
